"sci_name","synonyms"
"""Maculabatis bineeshi""","""Maculabatis bineeshi"""
"""Maculabatis gerrardi""","""Maculabatis gerrardi"" OR ""Himantura macrurus"" OR ""Himantura alcockii"" OR ""Himantura gerrardi"" OR ""Trygon gerrardi"""
"""Maculabatis macrura""","""Maculabatis macrura"" OR ""Trygon macrurus"""
"""Maculabatis pastinacoides""","""Maculabatis pastinacoides"" OR ""Himantura pareh"" OR ""Himantura pastinacoides"" OR ""Trygon pastinacoides"""
"""Maculabatis randalli""","""Maculabatis randalli"" OR ""Himantura randalli"""
"""Maculabatis toshi""","""Maculabatis toshi"" OR ""Himantura toshi"""
"""Makararaja chindwinensis""","""Makararaja chindwinensis"""
"""Malacoraja kreffti""","""Malacoraja kreffti"" OR ""Raja kreffti"""
"""Malacoraja obscura""","""Malacoraja obscura"""
"""Malacoraja senta""","""Malacoraja senta"" OR ""Raja senta"""
